"","Title","Price","Rating","Review_Count"
"1","JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",49.95,4.3,23437
"2","JBL Vibe Buds 2 - True Wireless Noise Cancelling Earbuds Pure Bass Sound & Smart Ambient Technology, 4mics for Crisp, Clear Calls, up to 40Hrs of Playback, IP54 Dust & Water Resistant (White)",49.95,4.5,18
"3","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"4","Samsung Galaxy Buds 3 Wireless Earbud Headphones - Silver",99.99,4,330
"5","Wireless Earbuds, Bluetooth 5.4 Headphones, True Wireless Stereo Earphones with IPX7 Waterproof, Noise Cancelling Mic, Fast Charging and Comfort Fit Ear Buds for Sports/Workouts - Black",19.99,4.8,1740
"6","SAMSUNG Galaxy Buds Fan Edition(FE) SM-R400, Active Noise-Cancelling, Wireless Bluetooth v5.2 Earbuds, Android 8.0 and Up - (Graphite)",53.98,4.4,1553
"7","Marshall Motif II True Wireless Active Noise-Canceling Earbuds Headphones, Black",199.99,4.3,1172
"8","Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",19.97,4.4,63259
"9","TOZO Hybrid Active Noise Cancelling Wireless Earbuds, 6 Mics ENC Clear Call, IPX8 Waterproof, in Ear Bluetooth 5.3 Headphones Stereo Bass Ear Buds 59H Playtime with LED Display 32 EQs via APP",39.99,4.5,7273
"10","Wireless Earbuds, Bluetooth 5.4 Headphones Bass Stereo, Ear Buds with Noise Cancelling Mic LED Display, IP7 Waterproof in Ear Earphones, 36H Playtime for Laptop Pad Phones Sports Workout, Black",19.99,4.5,14313
"11","JBL Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small",99.95,4,8979
"12","Soundcore V20i by Anker Open-Ear Headphones, Adjustable Ear Hooks, Ultra-Comfort, Snug Fit, Powerful Sound, Clear Calls, IP55, 36H Playtime, Bluetooth 5.4 Wireless Earbuds, Multipoint Connection",28.48,4.4,4179
"13","Soundcore P30i by Anker Noise Cancelling Earbuds, Strong and Smart Noise Cancelling, Powerful Bass, 45H Playtime, 2-in-1 Case and Phone Stand, IP54, Wireless Earbuds, Bluetooth 5.4 (Black)",28.49,4.4,8084
"14","Wireless Earbuds, Bluetooth Ear Buds with Big Bass Stereo Sound, 48 Hours Playtime, Lightweight in-Ear Fit Earphones, IPX7, Hands-Free Calls with AI for iPhone, Android, Pad, Sports, Workout",19.99,4.8,394
"15","Sony WF-C510 Truly Wireless in-Ear Bluetooth Earbud Headphones with up to 22-Hour Battery, Multipoint-Connection, Mic and IPX4 Water Resistance, Black- New",58,4.4,1303
"16","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black",25.98,4.4,47325
"17","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"18","AI Language Translator Earbuds,144 Languages Bluetooth Translator Device and Accents 8 Offline Language Translation, Two-Way Translator Earphones for Language Learning/Travel/Business",49.99,5,15
"19","JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, Bluetooth 5.3, 4-Mic technology for Crisp, Clear Calls, Up to 48 hours of battery life, Water and dust resistant (Black)",99.95,4.1,6234
"20","soundcore by Anker Space A40 Auto-Adjustable Active Noise Cancelling Wireless Earbuds, Reduce Noise by Up to 98%, 50H Playtime, Hi-Res Sound, Comfortable Fit, App Customization, Wireless Charge (Blue)",44.98,4.2,17848
"21","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"22","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"23","Wireless Earbuds Bluetooth 5.4 Headphones 75H Stereo Deep Bass Sports Over Ear Buds with Earhooks, LED Display Bluetooth Earbuds with 4 ENC Mic, IP7 Waterproof Earphone for Running, Black",21.59,4.7,578
"24","kurdene Wireless Earbuds Bluetooth Headphones Sport,Over Ear Buds with Deep Bass Sound,60Hrs Playtime Earphones Redesigned Comfort Fit with Earhooks for Running,Meeting,Workout-Black",8.49,4.4,2358
"25","bmani Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black",25.98,4.4,47325
"26","EUQQ Earbuds Wireless Bluetooth 120h Battery 5.3 Sports Waterproof Bluetooth Headphones Over The Ear Wireless with Earhooks for Workout Running Gym LED Display Black",23.99,4.3,1237
"27","kurdene Wireless Earbuds Bluetooth 5.3 in Ear Buds Light Weight Headphones,Deep Bass Sound,Built in Mics Headset,Clear Calls Earphones for Sports Workout",9.99,4.2,62998
"28","Wireless Earbuds Bluetooth 5.4 Headphones 75H Stereo Deep Bass Sports Over Ear Buds with Earhooks, LED Display Bluetooth Earbuds with 4 ENC Mic, IP7 Waterproof Earphone for Running, Black",21.59,4.7,578
"29","ZIUTY Wireless Earbuds, 2025 Bluetooth Headphones, 50hrs Stereo Deep Bass Ear Buds with Power Display Charging Case, buit in Mic, IPX5 Waterproof Headset for iPhone Andriod Phones",19.99,4.4,11514
"30","Raycon Everyday Earbuds (2024 Edition) - Bluetooth True Wireless in-Ear Buds with 32 Hours Playtime, Multpoint Technology, Extreme Comfort, and Active Noise Cancellation (Carbon Black)",79.99,4.2,36243
"31","Soundcore Sport X20 by Anker, True-Wireless Workout Earbuds, Rotatable and Extendable Ear Hooks, Noise Cancelling, Deep Bass, IP68 Waterproof, Sweatproof, Dustproof, 48H Play, Sport Earbuds for Gym",63.99,4.3,5854
"32","Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone, Royal Blue",26.99,4.3,15793
"33","Bone Conduction Headphones Wireless Bluetooth, Open-Ear Sports Headphones with Mic, IPX5 Waterproof, Ultra Light Comfort for Running/Cycling/Gym, 8H Playtime, HD Sound & Multi-Device Pairing",39.99,5,3
"34","TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones 50H Long Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Earphones, Built-in Mic Calls, Headset Premium Deep Bass 32 Preset EQs via APP",22.99,4.4,240559
"35","Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone for Workout/Running",25.99,4.3,15793
"36","Wireless Earbuds Bluetooth 5.3 Headphones, 40Hrs Playback Stereo Ear Buds with LED Display Charging Case IPX7 Waterproof in-Ear Earphones with Mic for Phone Tablet Laptop Sports, White",16.98,4.4,3626
"37","Marshall Motif II True Wireless Active Noise-Canceling Earbuds Headphones, Black",199.99,4.3,1172
"38","JBL Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small",99.95,4,8979
"39","JBL Endurance Peak 3 - Dust and Water Proof (IP68) True Wireless Active Earbuds, Pure Bass Sound, Up to 50 Total Hours of Playback with Speed Charge, Ambient Aware & Talk Thru (Black)",89.95,4,3779
"40","SAMSUNG Galaxy Buds Fan Edition(FE) SM-R400, Active Noise-Cancelling, Wireless Bluetooth v5.2 Earbuds, Android 8.0 and Up - (Graphite)",53.98,4.4,1553
"41","JLab Go Air Pop True Wireless Bluetooth Earbuds & Charging Case, Fruity Pebbles, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost",34.99,4.4,45032
"42","King Lucky Clip-on Earbuds Jewelry Wireless Bluetooth 5.4 Comfortable Open Ear Headphones with Detachable Butterfly Earrings,IPX5 Waterproof, 50H Play, for Women, Gift,Parties,Festival (White)",39.99,4.8,7
"43","JBL Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small",99.95,4,8979
"44","JBL Endurance Peak 3 - Dust and Water Proof (IP68) True Wireless Active Earbuds, Pure Bass Sound, Up to 50 Total Hours of Playback with Speed Charge, Ambient Aware & Talk Thru (Black)",89.95,4,3779
"45","Wireless Earbuds, Bluetooth 5.3 Headphones LED Power Display, 2025 New Wireless Earphones, 4 ENC Noise Cancelling Mic, HiFi Stereo, 48H Playtime Mini Case IP7 Waterproof for Sport Walk",9.99,4.5,1958
"46","Skullcandy Dime Evo Wireless Earbuds, Bluetooth Headphones, Noise Isolating Fit, Up to 36 Hours Battery, Microphone for iPhone Android, Easy Carry with Clip-Anywhere Case - True Black",39.88,4.3,396
"47","Skullcandy Dime Evo Wireless Earbuds, Bluetooth Headphones, Noise Isolating Fit, Up to 36 Hours Battery, Microphone for iPhone Android, Easy Carry with Clip-Anywhere Case - True Black",39.88,4.3,396
"48","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"49","Wired Earbuds Headphones for School with Microphone Noise Isolating Stereo Bass in-Ear Earphones – for Smartphones, Tablets, Schools, Ipads, Multiuse - 3.5mm Plug in Audio Jack - Black",6.99,4.1,1372
"50","JLab Go Air Pop True Wireless Bluetooth Earbuds & Charging Case, Fruity Pebbles, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost",34.99,4.4,45032
"51","Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2025 Bluetooth Earbuds Stereo Deep Bass Over Ear Bud with Earhooks, ENC Noise Cancelling Mic, IPX7 Waterproof Earphone, Royal Blue",26.99,4.3,15793
"52","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"53","TOZO T10 True Wireless Bluetooth 5.3 Earbuds, 45H Playtime, Wireless Charging Case, IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass, 32 Preset EQs via APP",18.98,4.3,256542
"54","Skullcandy Dime Evo Wireless Earbuds, Bluetooth Headphones, Noise Isolating Fit, Up to 36 Hours Battery, Microphone for iPhone Android, Easy Carry with Clip-Anywhere Case - Bone",34.89,4.3,396
"55","Wireless Earbuds Bluetooth 5.4 Headphones 75H Stereo Deep Bass Sports Over Ear Buds with Earhooks, LED Display Bluetooth Earbuds with 4 ENC Mic, IP7 Waterproof Earphone for Running, Black",21.59,4.7,578
"56","EUQQ Earbuds Wireless Bluetooth 120h Battery 5.3 Sports Waterproof Bluetooth Headphones Over The Ear Wireless with Earhooks for Workout Running Gym LED Display Black",23.99,4.3,1237
"57","kurdene Wireless Earbuds Bluetooth Headphones Sport,Over Ear Buds with Deep Bass Sound,60Hrs Playtime Earphones Redesigned Comfort Fit with Earhooks for Running,Meeting,Workout-Black",8.49,4.4,2358
"58","EarFun Air Pro 4 Adaptive Hybrid Noise Canceling Wireless Earbuds, Qualcomm Snapdragon Sound, aptX™ Lossless, 6 Mics AI CVC 8.0 Call, LDAC Hi-Res Audio, 52H Playtime, Bluetooth 5.4, in-Ear Detection",62.99,4.4,2971
"59","JLab Go Pop+ True Wireless Bluetooth Earbuds & Charging Case - Black, App Support, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost",24.99,4.3,5967
