"","Title","Price","Rating","Review_Count"
"1","Soundcore Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 70H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, Travel, Office, USB-C Charging",39.98,4.5,87414
"2","Picun Solo6 Wireless Bluetooth Headphones, 5EQ Music Mode, On-Ear Headphone with Built-in Microphone, Foldable Headset with 140H Battery Life, App Control for Girls, Home, School, Travel (Khaki)",21.99,4.5,65
"3","Skullcandy Crusher Evo Wireless Bluetooth Headphones with Multi-Sensory Bass, Noise Isolating Over-Ear Fit, Up to 40 Hours Battery, Microphone for iPhone Android - Asphalt",129.88,4.7,4046
"4","Skullcandy Crusher Evo Wireless Bluetooth Headphones with Multi-Sensory Bass, Noise Isolating Over-Ear Fit, Up to 40 Hours Battery, Microphone for iPhone Android - Asphalt",129.88,4.7,4046
"5","Skullcandy Hesh ANC Wireless Over-Ear Bluetooth Headphones with Charging Cable, Active Noise Cancelling, Up to 22 Hrs Battery, Foldable Lightweight Design, Microphone for iPhone Android - Mod White",79.88,4.4,1910
"6","Yealink UH34 USB Headset with Mic,Stereo Wired Headphones with Noise Cancelling Microphone,Teams Certified,Professional Work Headphones for VoIP Phone PC Computer Call Center Office",44.99,4.2,525
"7","Skullcandy Crusher ANC 2 Wireless Over-Ear Bluetooth Headphones with Multi-Sensory Bass, Active Noise Cancelling, Up to 60 Hours Battery, Microphone for iPhone Android - Black/Asphalt",179.99,4.6,1748
"8","JLab Go Pop+ True Wireless Bluetooth Earbuds & Charging Case - White, App Support, Dual Connect, IPX4 Sweat Resistance, Bluetooth 5 Connection, 3 EQ Sound Settings Signature, Balanced, Bass Boost",24.99,4.3,5967
"9","Sony MDR7506 Professional Large Diaphragm Headphone",98,4.7,26763
"10","soundcore Life Q30 by Anker, Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 50H Playtime, Comfortable Fit, Bluetooth, Multipoint Connection",55.99,4.4,83668
"11","Logitech G733 Lightspeed Wireless Gaming Headset, Suspension Headband, Lightsync RGB, Blue VO!CE Mic, PRO-G Audio – Black, Gaming Headset Wireless, PC, PS5, PS4, Switch Compatible",127.9,4.4,17770
"12","JBL Tune 520BT - Wireless On-Ear Headphones, Up to 57H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design, Hands-Free Calls with Voice Aware (Purple)",49.95,4.6,5843
"13","USB C Headphones for Samsung Galaxy S24 S23 Ultra S22 S21 FE S20 A54 A53 USB C Earphones with Mic Volume Control Wired Earbuds USB Type C Headphones for iPhone 16 15 Pro Max Plus iPad Pro Pixel 8 7 6a",15.99,4.2,3396
"14","Avantree C171 - USB-C Wired Earbuds with Microphone & Volume Controls, Compatible with New iPhone 15 & 16, Samsung, Google & Android Type C Phones Headphones with Ear Hook for Running & Sports",22.99,4.2,3489
"15","Sony WI-C100 Wireless in-Ear Bluetooth Headphones with Built-in Microphone, Black",33,4.2,11447
"16","JBL Tune 770NC - Adaptive Noise Cancelling with Smart Ambient Wireless Over-Ear Headphones, Bluetooth 5.3, Up to 70H Battery Life with Speed Charge, Lightweight (Black) (Renewed)",66.93,4.4,105
"17","Audio-Technica ATH-M40x Professional Studio Monitor Headphone, Black (AUD ATHM40X)",109,4.6,16055
"18","JBL Tune 720BT - Wireless Over-Ear Headphones with JBL Pure Bass Sound, Bluetooth 5.3, Up to 76H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",79.95,4.5,5555
"19","AI Language Translation Earbuds, Bluetooth 5.4 Headphones Translator for 168 Languages & Accents, LCD Touch Screen Real-Time Earphones Fit iOS and Android Ideal for Travel Business Learning,Deep Blue",99.99,5,122
"20","AI Language Translation Earbuds, Bluetooth 5.4 Headphones Translator for 168 Languages & Accents, LCD Touch Screen Real-Time Earphones Fit iOS and Android Ideal for Travel Business Learning,Deep Blue",99.99,5,122
"21","Premium Classroom Headphone & Mic Set 3.5mm Jack Stereo Sound Earphones with Microphone & Soft Swivel On Ear Pads- Perfect for E-Learning, Meetings, Calls - Bulk Pack of 5 (Black)",36.07,4.5,1151
"22","Yealink UH34 USB Headset with Mic,Stereo Wired Headphones with Noise Cancelling Microphone,Teams Certified,Professional Work Headphones for VoIP Phone PC Computer Call Center Office",44.99,4.2,525
"23","Kids Headphones for School Bulk Set 5-Pack On-Ear, 3.5mm, Wired Headphones for Schools & Libraries – Adjustable, Cushioned Wired Kids, (Mixed Colors)",29.75,4.4,1661
"24","Open Ear Sport Headphones, Wireless Bone Conduction Earphones, Built-in 32GB MP3,with Mic, IP68, Sweat & Water Resistant, Up to 8 Hours Battery, Bluetooth 5.3,for Running,Workouts",79.99,4.3,955
"25","POLY HP Voyager Legend 30 - Bluetooth Monaural Headset - Discreet Boom & 4 Noise-Canceling Mics, WindSmart Technology, All-Day Comfort, Seamless Connectivity, Smart Sensors & Call Controls, Black",87.99,4.8,5
"26","Barks Classroom Headphones With Microphone (10 Pack) - On-Ear Bulk Headphones With Microphone: Best for Students K-12 Schools (Rotating Boom Mic, Good Recording Quality, Durable Design, Easy-to-Clean)",109.97,4.5,62
"27","USB C Headphones for iPhone 16 15 Pro Max Plus iPad Pro USB C Earphones with Microphone Volume Control USB C Wired Earbuds USB Type C Earphone for Google Pixel 8 7 6A 5 Samsung S24 S23 S22 S21 S20 A55",14.99,4.3,5408
